Prefix,Gap Start,Gap End,Missing Count
EDC,EDC0011446,EDC0011446,1
EDC,EDC0011455,EDC0011455,1
EDC,EDC0011458,EDC0011462,5
EDC,EDC0011556,EDC0011556,1
EDC,EDC0011582,EDC0011583,2
EDC,EDC0011620,EDC0011620,1
EDC,EDC0011626,EDC0011628,3
EDC,EDC0011631,EDC0011632,2
EDC,EDC0011667,EDC0011668,2
EDC,EDC0011673,EDC0011679,7
EDC,EDC0011681,EDC0011686,6
EDC,EDC0011695,EDC0011695,1
EDC,EDC0011704,EDC0011705,2
EDC,EDC0011708,EDC0011708,1
EDC,EDC0011710,EDC0011711,2
EDC,EDC0011719,EDC0011719,1
EDC,EDC0011740,EDC0011740,1
EDC,EDC0011751,EDC0011751,1
EDC,EDC0011753,EDC0011753,1
EDC,EDC0011763,EDC0011764,2
EDC,EDC0011767,EDC0011767,1
EDC,EDC0011787,EDC0011788,2
EDC,EDC0011797,EDC0011797,1
EDC,EDC0011815,EDC0011815,1
EDC,EDC0011820,EDC0011820,1
EDC,EDC0011824,EDC0011824,1
EDC,EDC0011829,EDC0011830,2
EDC,EDC0011868,EDC0011868,1
EDC,EDC0011871,EDC0011871,1
EDC,EDC0011876,EDC0011876,1
EDC,EDC0011884,EDC0011884,1
EDC,EDC0011891,EDC0011891,1
EDC,EDC0011899,EDC0011899,1
EDC,EDC0011916,EDC0011917,2
EDC,EDC0011944,EDC0011947,4
EDC,EDC0011952,EDC0011952,1
EDC,EDC0011961,EDC0011961,1
EDC,EDC0011998,EDC0012001,4
EDC,EDC0012011,EDC0012011,1
EDC,EDC0012021,EDC0012021,1
EDC,EDC0012023,EDC0012023,1
EDC,EDC0012034,EDC0012034,1
EDC,EDC0012044,EDC0012045,2
EDC,EDC0012049,EDC0012049,1
EDC,EDC0012064,EDC0012064,1
EDC,EDC0012066,EDC0012066,1
EDC,EDC0012070,EDC0012070,1
EDC,EDC0012073,EDC0012073,1
EDC,EDC0012086,EDC0012088,3
EDC,EDC0012115,EDC0012115,1
EDC,EDC0012117,EDC0012119,3
EDC,EDC0012135,EDC0012136,2
EDC,EDC0012143,EDC0012143,1
EDC,EDC0012179,EDC0012180,2
EDC,EDC0012186,EDC0012187,2
EDC,EDC0012192,EDC0012192,1
EDC,EDC0012198,EDC0012198,1
